text_a,text_b,score
Expose streaming as a vtable,Save state about completed streams and display in nodetool netstats,1.0
Merge guardrails and track warnings configurations,Migrate track_warnings to more standard naming conventions and use latest configuration types rather than long,1.0
Write docs for CEP-26 Unified Compaction Strategy (UCS),Unified Compaction Strategy is missing documentation,1.0
org.apache.cassandra.repair.RepairJobTest testOptimizedCreateStandardSyncTasks,Improve performance when calculating StreamTasks with optimised streaming,1.0
IllegalStateException with prepared queries selecting static columns in mixed 3.0.x/4.x clusters,IllegalStateException when query on table having static columns during the Cassandra cluster upgrade from 3.11.4 to 4.0.11,1.0
Possible memory leak in BTree.FastBuilder ,Pooled BTree.FastBuilder keeps references to data after reset,1.0
Upgrade to lz4-java 1.8,Upgrade lz4-java to 1.8.0 to add RH6 support back,1.0
Topology events are not sent to clients if the nodes use the same network interface,pushed_notifications_test.TestPushedNotifications.test_restart_node_localhost failure,1.0
Test Failure: secondary_indexes_test.py::TestSecondaryIndexes::test_failing_manual_rebuild_index,LEAK DETECTED: org.apache.cassandra.io.util.FileHandle$Cleanup in TestSecondaryIndexes.test_failing_manual_rebuild_index,1.0
netty-handler vulnerability: CVE-2023-4586,Investigate and fix CVE-2023-4586,1.0
AbstractCommitLogService#lastSyncedAt initialized with currentTimeMillis() but later compared and updated with System.nanoTime() ,AbstractCommitLogService#lastSyncedAt initialized with currentTimeMillis() but later compared and updated with System.nanoTime() ,1.0
Document how to run Cassandra on Windows,"Update ""Getting Started"" document for Windows users",1.0
"Memtable being flushed without hostId in version ""me"" and newer during CommitLogReplay",Warning at startup in 3.11.11 or above version of Cassandra,1.0
"StorageService exposes ensureTraceKeyspace that is used by jvm-dtest, but it should be removed and use MigrationManager.evolveSystemKeyspace instead","When a table attempts to clean up metrics, it was cleaning up all global table metrics",1.0
Test failure: dtest.secondary_indexes_test.TestPreJoinCallback.test_resume,Test failure: secondary_indexes_test.TestPreJoinCallback.test_resume,1.0
Optimize logging with lazy log parameter evaluation,NoSpamLogger arguments building objects on hot paths,1.0
rpc server gets wrongly initialized with rpc_enabled:false,NullPointerException when calling nodetool enablethrift,1.0
SSL connection to storage port when internode encryption is disabled still try to load keystore,TLS connections to the storage port on a node without server encryption configured causes java.io.IOException accessing missing keystore,1.0
Test failure: j11_jvm_dtests org.apache.cassandra.distributed.test.ring.DecommissionTest#testMixedVersionBlockDecom-_jdk11,Test failure: org.apache.cassandra.distributed.test.ring.DecommissionTest.test*Version*,1.0
jackson-databind vulnerability CVE-2022-42003 CVE-2022-42004,jackson-databind2.13.2.2 still exists in apache-cassandra-5.0.2,1.0
"Python DTest does not release CQL connections, which can cause containers to hang for 2 hours trying to connect to a server thats already gone","Python DTest does not release CQL connections, which can cause containers to hang for 2 hours trying to connect to a server thats already gone",1.0
Test Failure: dtest-upgrade.upgrade_tests.upgrade_through_versions_test.TestProtoV3Upgrade_AllVersions_EndsAt_3_11_X.test_parallel_upgrade,Fix flaky dtest - upgrade.upgrade_tests.upgrade_through_versions_test.TestProtoV3Upgrade_AllVersions_EndsAt_3_11_X.test_rolling_upgrade,1.0
cassandra local_quorum query is inconsistent, cassandra local_quorum query is inconsistent,1.0
Add a Virtual table to expose Streaming metrics,Expose streaming as a vtable,1.0
"snappy-java vulnerability: CVE-2023-34455, CVE-2023-34454, CVE-2023-34453",snappy-java vulnerability: CVE-2023-34453,1.0
Test Failure: InsertUpdateIfConditionTest.testMultiExistConditionOnSameRowClustering,Flaky test: org.apache.cassandra.cql3.validation.operations.InsertUpdateIfConditionTest.testConditionalUpdate[1: clusterMinVersion=3.11]-compression.jdk1.8 on trunk,1.0
Make resumable bootstrap feature optional,A few large DTests failing on trunk after  CASSANDRA-17679,1.0
Flaky upgrade_tests.cql_tests.TestCQLNodes2RF1_Upgrade_current_4_0_x_To_indev_trunk.test_noncomposite_static_cf,flaky dtest-upgrade.upgrade_tests.cql_tests TestCQLNodes2RF1_Upgrade_indev_4_0_x_To_indev_trunk test_static_cf,1.0
Upgrade caffeine to 3.1.8 and fix CIDR permissions cache invalidation,CIDR permission cache probably does not work,1.0
Test Failure: org.apache.cassandra.simulator.test.ShortPaxosSimulationTest.simulationTest-_jdk11,Test Failure: org.apache.cassandra.simulator.test.ShortPaxosSimulationTest.simulationTest,1.0
LeveledCompactionStrategy disk space check improvements,Allow reducing scope for L0 to L1 compactions when space is limited,1.0
Scrub does not detect invalid partition keys,python dest Failure: scrub_test.py::TestScrubIndexes::test_scrub_collections_table,1.0
jvm-dtests crash on java 17,NativeTransportEncryptionOptionsTest fails often in CI,1.0
Test failure: Fix assertion error AssertionError: Unknown keyspace system_auth\n\tat org.apache.cassandra.db.Keyspace.<init>(Keyspace.java:324)\n\tat org.apache.cassandra.db.Keyspace.lambda$open$0(Keyspace.java:162),Test failure: org.apache.cassandra.tools.nodetool.ClearSnapshotTest.testClearSnapshot_RemoveByName-.jdk11.arch=x86_64.python2.7,1.0
CEP-15: (C*) Accord message processing should avoid being passed on to a Stage and run directly in the messageing handler,CEP-15 (Accord) accord.messages.Defer rejects Recurrent retry of Commit,1.0
LongSharedExecutorPoolTest.testPromptnessOfExecution burn test is flaky,Fix flaky LongSharedExecutorPoolTest.testPromptnessOfExecution,1.0
Add missing tests suites to CircleCI,Cython not tested on 4.0,1.0
snakeyaml-1.26.jar: CVE-2022-41854,Bump snakeyaml from 1.26 to 2.0,1.0
Fix flaky test testMetricsWithRepairAndStreamingFromTwoNodes - org.apache.cassandra.distributed.test.metrics.StreamingMetricsTest,Fix flaky StreamingMetricsTest.testMetricsWithRebuildAndStreamingToTwoNodes,1.0
Improve the way we pick sstables for STCS-in-L0 and in TWCS 'current' window,L0 compactions never recover when thousands unleveled,1.0
Add an optimized default configuration to tests and make it available for new users,We should offer an option for optimized default configuration,1.0
Upgrade snappy java library,snappy-java-1.1.10.1 vulnerability: CVE-2023-43642,1.0
Nodetool ring unit testing,Nodetool unit testing,1.0
Unable to specify -e/--execute flag in cqlsh,cqlsh -e parsing bug,1.0
DOC - Fix Dynamo paper links to have working urls,Write docs for CEP-26 Unified Compaction Strategy (UCS),1.0
Test Failure: dtest-novnode.transient_replication_test.TestTransientReplicationRepairLegacyStreaming.test_optimized_primary_range_repair_with_lcs ,Jolokia agent fails to connect though port is available,1.0
MessagingServiceTest listenOptionalSecureConnection and listenRequiredSecureConnection fail sporadically,Fix test org.apache.cassandra.net.MessagingServiceTest,1.0
Fix test testIsrepairedArg - org.apache.cassandra.tools.SSTableRepairedAtSetterTest,Remove test parallelism from ant build.xml in all branches,1.0
Fix flaky dtest - org.apache.cassandra.distributed.test.SchemaTest.readRepair,Fix flaky dtest - org.apache.cassandra.distributed.upgrade.BatchUpgradeTest.batchTest ,1.0
Invalid serialized size for responses,BufferOverflow exception while writing response to buffer,1.0
system_schema keyspace complain of schema mismatch during upgrade,"upgraded nodes encountered ""Unknown column kind"" RuntimeException during upgrade C* from 3.0 to 3.2",1.0
Backport CASSANDRA-17205 (remove strong self-ref in tidier) to all supported lines,Backport CASSANDRA-17205 to 4.0 branch (strong ref leak),1.0
Bump snakeyaml from 1.26 to 2.0,Bump snakeyaml from 1.26 to 2.0,1.0
Joining nodes simultaneously with auto_bootstrap:false can cause token collision,deterministic token allocation combined with slow gossip propogation can lead to data loss,1.0
mvn-install fails if no repo mirror is defined in settings.xml,Migrate dependency handling from maven-ant-tasks to resolver-ant-tasks,1.0
CircleCI Unit Tests issue on latest trunk - java.lang.OutOfMemoryError: Java heap space ,CircleCI UnitTests error - java.lang.OutOfMemoryError: Java heap space,1.0
RPM Installation on centos 7 is broken by CASSANDRA-17669,C* 4.0.5 RPM installation fails due to JRE 8/11 fix for CASSANDRA-17669,1.0
Fix flaky testSkipScrubCorruptedCounterRowWithTool,Test Failure: org.apache.cassandra.db.ScrubTest.testScrubCorruptedCounterRow,1.0
Guardrail for partition size,Migrate thresholds for compaction to guardrails,1.0
"remove ""replace"" from cql reserved words",Reduce new reserved keywords introduced since 3.0,1.0
LEAK DETECTED:  was not released before the reference was garbage collected,LEAK DETECTED: was not released before the reference was garbage collected,1.0
dtest byteman errors,"Test Failure: python dtest, circleci, test_atomic_writes[none]",1.0
Transient Replication: unable to insert data when the keyspace is configured with the SimpleStrategy,dtest.consistency_test/TestAccuracy/test_simple_strategy_each_quorum_counters/,1.0
Full repair on a keyspace with a large amount of tables causes OOM,Repair causes out of memory,1.0
Test failure: org.apache.cassandra.distributed.test.log.FetchLogFromPeersTest.catchupCoordinatorAheadPlacementsReadTest-_jdk11,Test failure: org.apache.cassandra.distributed.test.log.FetchLogFromPeersTest.catchupCoordinatorAheadPlacementsReadTest-_jdk17,1.0
nodetool bootstrap resume completes successfully even if there is an error during bootstrap,nodetool bootstrap resume returns success even if there is an error during bootstrap,1.0
DOC - tools/nodetool is untitled and might be affecting search results,"Fix cross-refs in trunk - incorrect syntax, no components",1.0
Fix test failure: dtest-upgrade.upgrade_tests.upgrade_through_versions_test.TestProtoV3Upgrade_AllVersions_RandomPartitioner_EndsAt_3_11_X_HEAD.test_rolling_upgrade,Fix python dtest upgrade tests,1.0
Not able to override default transport port in cassandra 4.0,sstableloader ignores the native port option,1.0
Don't shut down gossip before native transport,Transports are stopped in the wrong order,1.0
CMS is deprecated,Use G1GC as default,1.0
Fix flakey testSendLarge - org.apache.cassandra.net.ConnectionTest,Fix flakey testSerializeError - org.apache.cassandra.net.ConnectionTest,1.0
nodetool status owns (effective) question mark,"Incorrect output in ""nodetool status -r""",1.0
Separate out allow filtering scanning through a partition versus scanning over the table,Do not require allow filtering when all primary keys are specified in SELECT ,1.0
Investigate OWASP failure report,Security vulnerabilities in Netty in cassandra netty-all-4.1.58.Final.jar ,1.0
Fix failing tests - TestUpgrade_[version]_To_indev_3_11_x,Test Failure: TestUpgrade_current_2_1_x_To_indev_3_11_x.test_bootstrap_multidc (upgrade),1.0
Test failure: org.apache.cassandra.distributed.test.ClearSnapshotTest#clearSnapshotSlowTest-_jdk11,Test failure: org.apache.cassandra.distributed.test.ClearSnapshotTest.clearSnapshotSlowTest-_jdk17,1.0
org.apache.cassandra.utils.memory.LongBufferPoolTest - tests are flaky,"LongBufferPoolTest failing, several data races in BufferPool",1.0
Update Netty 4.0.44 -> 4.1.50 (fix security/performance issues),Upgrade Netty on 5.0,1.0
Cassandra 3.11.2 not compatible with Oracle JRE 1.8.0_281,Cassandra not compatible with Oracle JRE 1.8.0_281 ,1.0
Document cqlsh single quote escaping behavior on complex vs simple types,Accumulate all the `docs` PR from GitHub into a single patch,1.0
digest may not match when single partition named queries skip older sstables,Digest for some queries is different depending whether the data are retrieved from sstable or memtable,1.0
Flaky compaction_test.py::TestCompaction:: test_user_defined_compaction,Test failure: compaction_test.py::TestCompaction::test_user_defined_compaction,1.0
upgrade_tests/upgrade_udtfix_test.py failing in Circle CI for Cassandra 3.0 and 3.11,Fix CircleCI config for running Python upgrade tests on 3.0 and 3.11,1.0
Broken test_rolling_upgrade - upgrade_tests.upgrade_through_versions_test.TestUpgrade_indev_3_0_x_To_indev_4_0_x,Test Failure: python dtest test_parallel_upgrade,1.0
Concurrent Index Memtable implementation using Trie,In-memory index and query path,1.0
Fix dtest-novnode.materialized_views_test.TestMaterializedViews.test_drop_with_stopped_build,TestMaterializedViews::test_drop_with_stopped_build is flaky,1.0
Wrong cqlsh python library location in cassandra-3.11.11-1 rhel packages ,cqlsh broken after upgrade from 3.11.10 to 3.11.11,1.0
Remove Claim of Support for Python2 in 4.0, bin/cqlsh writes unwanted output to stderr while validating python version if python 2.6 is installed as system python,1.0
Test Failure: sstableutil_test.TestSSTableUtil,Test failure: sstableutil_test.TestSSTableUtil.test_abortedcompaction,1.0
Test Failure: org.apache.cassandra.fuzz.ring.ConsistentBootstrapTest.coordinatorIsBehindTest,Test failure: org.apache.cassandra.fuzz.ring.ConsistentBootstrapTest.coordinatorIsBehindTest,1.0
"Pathological interaction between Cassandra and readahead, particularly on Centos 7 VMs",Update default disk_access_mode to mmap_index_only,1.0
Test Failure: UnavailableSocketErrors: Local socket binding errors showing up intermittently in tests,Test Failure: cqlsh_tests.test_cqlsh_copy.TestCqlshCopy.test_bulk_round_trip_non_prepared_statements,1.0
Test failure: org.apache.cassandra.distributed.test.log.InProgressSequenceCoordinationTest.rejectSubsequentInProgressSequence,Test failure: org.apache.cassandra.distributed.test.log.InProgressSequenceCoordinationTest:rejectSubsequentInProgressSequence,1.0
"snakeyaml vulnerabilities: CVE-2021-4235, CVE-2022-1471, CVE-2022-3064",snakeyaml1.26 still exists in apache-cassandra-5.0.2,1.0
Fix flaky LongSharedExecutorPoolTest.testPromptnessOfExecution,concurrent.LongSharedExecutorPoolTest.testPromptnessOfExecution broken,1.0
ByteBufferAccessor cast exceptions are thrown when trying to query a virtual table,ByteBufferAccessor throws ClassCastException when trying to query system_views.local_read_latency,1.0
Test Failure: org.apache.cassandra.distributed.upgrade.MixedModeAvailabilityV30Test.testAvailability,Test Failure: org.apache.cassandra.distributed.upgrade.MixedModeAvailabilityV3XTest.testAvailability,1.0
Test Failure: Fix flaky ConnectionTest,flaky test org.apache.cassandra.net.ConnectionTest.testMessageDeliveryOnReconnect-compression.jdk1.8 on trunk,1.0
"Text value containing ""/*"" interpreted as multiline comment in cqlsh",A multi-line comment containing semi colon as the end of line throws error,1.0
Improve the code model around IndexContext,"SAI range query does not play together with ""IN""",1.0
Fix test: bootstrap_test.py::TestBootstrap::test_bootstrap_with_reset_bootstrap_state,"commit log was switched from non-daemon to daemon threads, which causes the JVM to exit in some case as no non-daemon threads are active",1.0
GSoC Blog Post,GSoC Blog Post,1.0
jackson-databind vulnerability CVE-2022-42003 CVE-2022-42004,CVE's in Cassandra 4.0.7,1.0
Response headers to OPTION messages always have Stream ID of zero ,Incorrect stream used in SUPPORTED frame,1.0
Honour previous parameter defaults between builds in Jenkinsfile,Standalone jenkinsfile first round bug fixes,1.0
Test failure: org.apache.cassandra.db.RepairedDataInfoTest,Test failure: org.apache.cassandra.db.lifecycle.ViewTest,1.0
Avoid unnecessary index builds and validations,Importer should build SSTable indexes successfully before making new SSTables readable,1.0
Unexpected error deserializing mutation when upgrade from 2.2.19 to 3.0.30/3.11.17,MarshalException when migrate data from 2.2.19 to 3.11.17,1.0
CASSANDRA-15650 was merged after dtest refactor and modified classes no longer in the project,Fix NoSuchMethodError: 'org.apache.cassandra.distributed.api.NodeToolResult$Asserts ,1.0
DOC - tools/nodetool is untitled and might be affecting search results,nodetool Docs missing titles,1.0
python dtest regression caused by CASSANDRA-15637,test_refresh_size_estimates_clears_invalid_entries - nodetool_test.TestNodetool,1.0
Remove harry-example.conf from conf/,Fix ClusterMetadataUpgradeHarryTest,1.0
Digest mismatches during upgrade,Fix flaky test mixedModeReadColumnSubsetDigestCheck - org.apache.cassandra.distributed.upgrade.MixedModeReadTest,1.0
Test failure: org.apache.cassandra.distributed.test.log.RegisterTest#serializationVersionDisagreementTest-_jdk17,Test failure: org.apache.cassandra.distributed.test.log.RegisterTest.serializationVersionDisagreementTest-_jdk17,1.0
Fix upgrade python dtest test_crc_check_chance_upgrade - upgrade_crc_check_chance_test.TestCrcCheckChanceUpgrade,python dtest fails to talk to 2.2 using protocol 4 but cqlsh has no issue,1.0
Test failure: ConsistentMoveTest#moveTest-cassandra.testtag_IS_UNDEFINED,Test failure:  ConsistentBootstrapTest#coordinatorIsBehindTest,1.0
Handle empty TOC file when taking snapshots,java.lang.IllegalArgumentException during Cassandra 4.x upgrade,1.0
Flush sealed period/snapshot tables on every write,Revisit use of sealed period lookup tables,1.0
Remove references to run_dtests from README,Remove references to run_dtests from README,1.0
/usr/bin/cassandra looking for wrong libjemalloc.so file,libjemalloc2 is not detected by cassandra script,1.0
